student_id,province,year,population,income,cpi,unemployment_rate
SV001,Hà Nội,2019,3603294,74.98,94.22,5.64
SV001,Hà Nội,2020,7021866,,122.04,5.01
SV001,Hà Nội,2021,5731249,37.75,119.33,1.38
SV001,TP.HCM,2019,5674506,,128.84,3.13
SV001,TP.HCM,2020,3681407,43.93,,3.57
SV001,TP.HCM,2021,4749830,119.41,,3.49
SV001,Đà Nẵng,2019,3917106,74.97,125.86,5.24
SV001,Đà Nẵng,2020,2155574,32.23,98.57,5.2
SV001,Đà Nẵng,2021,5317006,,128.36,5.77
SV001,Hải Phòng,2019,7825686,47.12,,5.63
SV001,Hải Phòng,2020,5000373,46.33,116.91,2.92
SV001,Hải Phòng,2021,5162790,71.74,99.99,2.7
SV001,Cần Thơ,2019,6451817,107.14,97.76,2.18
SV001,Cần Thơ,2020,3215563,71.24,116.94,3.81
SV001,Cần Thơ,2021,2878090,90.86,95.0,4.05
SV002,Hà Nội,2019,4307047,62.94,125.26,
SV002,Hà Nội,2020,6400923,56.38,129.47,1.71
SV002,Hà Nội,2021,1038859,49.48,105.45,
SV002,TP.HCM,2019,827547,76.81,128.79,5.38
SV002,TP.HCM,2020,3302584,61.08,,2.77
SV002,TP.HCM,2021,784059,74.03,128.44,4.68
SV002,Đà Nẵng,2019,4717044,60.82,107.96,4.06
SV002,Đà Nẵng,2020,2404560,118.85,102.21,4.65
SV002,Đà Nẵng,2021,1485902,45.99,100.76,5.25
SV002,Hải Phòng,2019,5522112,84.02,104.41,4.09
SV002,Hải Phòng,2020,7012811,65.79,109.66,3.47
SV002,Hải Phòng,2021,5667574,58.87,104.47,4.17
SV002,Cần Thơ,2019,7564152,90.3,119.48,4.07
SV002,Cần Thơ,2020,4931914,49.42,126.2,3.5
SV002,Cần Thơ,2021,1982250,,110.08,4.02
SV003,Hà Nội,2019,837363,,109.27,5.8
SV003,Hà Nội,2020,4867561,74.46,,
SV003,Hà Nội,2021,2776737,110.75,101.78,5.83
SV003,TP.HCM,2019,620105,64.77,108.78,
SV003,TP.HCM,2020,929605,,108.16,1.74
SV003,TP.HCM,2021,7072959,51.12,119.67,
SV003,Đà Nẵng,2019,4976827,112.14,119.56,2.5
SV003,Đà Nẵng,2020,4652628,37.53,117.1,
SV003,Đà Nẵng,2021,2133701,,108.97,5.32
SV003,Hải Phòng,2019,3564997,,119.75,5.34
SV003,Hải Phòng,2020,7683569,119.31,106.69,5.29
SV003,Hải Phòng,2021,5092289,42.01,126.13,3.47
SV003,Cần Thơ,2019,6030708,80.07,98.34,1.11
SV003,Cần Thơ,2020,3830724,,95.88,2.54
SV003,Cần Thơ,2021,4638170,31.33,129.4,4.21
SV004,Hà Nội,2019,3180537,,,3.95
SV004,Hà Nội,2020,5469176,32.04,98.05,5.38
SV004,Hà Nội,2021,4598403,111.34,93.89,4.38
SV004,TP.HCM,2019,6144202,105.04,123.8,1.09
SV004,TP.HCM,2020,2279662,,,5.33
SV004,TP.HCM,2021,6615874,35.5,90.87,5.23
SV004,Đà Nẵng,2019,4603157,31.89,113.82,4.25
SV004,Đà Nẵng,2020,5788684,62.57,,1.95
SV004,Đà Nẵng,2021,2634748,31.58,129.52,2.97
SV004,Hải Phòng,2019,3442274,72.06,115.16,2.72
SV004,Hải Phòng,2020,7024117,104.04,121.41,
SV004,Hải Phòng,2021,3754207,41.86,113.58,5.81
SV004,Cần Thơ,2019,5436126,57.1,129.48,2.9
SV004,Cần Thơ,2020,823689,103.1,115.39,1.84
SV004,Cần Thơ,2021,651885,42.11,115.32,4.59
SV005,Hà Nội,2019,1280945,34.18,92.31,5.67
SV005,Hà Nội,2020,3725992,34.4,110.92,2.58
SV005,Hà Nội,2021,2868980,,90.79,1.48
SV005,TP.HCM,2019,7825711,42.84,94.16,3.75
SV005,TP.HCM,2020,3280073,115.33,122.34,1.97
SV005,TP.HCM,2021,2703570,66.09,94.88,5.52
SV005,Đà Nẵng,2019,7112894,62.05,103.72,3.42
SV005,Đà Nẵng,2020,3188789,68.89,110.18,
SV005,Đà Nẵng,2021,4560476,60.25,100.79,1.75
SV005,Hải Phòng,2019,1278388,82.33,103.57,2.72
SV005,Hải Phòng,2020,4829194,50.02,118.46,2.41
SV005,Hải Phòng,2021,2327873,36.89,121.52,4.65
SV005,Cần Thơ,2019,5981771,107.36,94.35,4.28
SV005,Cần Thơ,2020,6781658,113.84,119.66,4.63
SV005,Cần Thơ,2021,5183363,33.72,111.22,5.13
SV006,Hà Nội,2019,5222544,30.28,93.48,4.92
SV006,Hà Nội,2020,4945862,116.83,110.1,
SV006,Hà Nội,2021,7743703,62.41,129.1,1.2
SV006,TP.HCM,2019,6357780,79.95,127.07,3.51
SV006,TP.HCM,2020,7344370,71.3,95.69,3.72
SV006,TP.HCM,2021,1371064,112.49,116.99,3.25
SV006,Đà Nẵng,2019,1300603,113.16,127.98,4.23
SV006,Đà Nẵng,2020,7749648,80.72,,
SV006,Đà Nẵng,2021,3830790,,102.24,5.86
SV006,Hải Phòng,2019,6672112,,99.11,4.46
SV006,Hải Phòng,2020,5061000,75.36,101.74,3.14
SV006,Hải Phòng,2021,5001809,117.39,97.4,1.46
SV006,Cần Thơ,2019,3695431,84.3,90.13,4.44
SV006,Cần Thơ,2020,1992288,101.82,128.98,4.24
SV006,Cần Thơ,2021,6878849,85.25,129.01,5.55
SV007,Hà Nội,2019,7985298,115.15,100.59,4.9
SV007,Hà Nội,2020,3704053,49.43,93.85,3.43
SV007,Hà Nội,2021,1474870,117.75,109.54,2.78
SV007,TP.HCM,2019,5986450,37.45,94.41,2.91
SV007,TP.HCM,2020,1193232,,95.97,1.76
SV007,TP.HCM,2021,5703955,61.4,104.21,2.03
SV007,Đà Nẵng,2019,1599480,116.81,109.46,5.65
SV007,Đà Nẵng,2020,6756123,48.82,113.09,5.91
SV007,Đà Nẵng,2021,3197457,76.2,117.35,2.32
SV007,Hải Phòng,2019,1265280,67.8,,1.07
SV007,Hải Phòng,2020,6073264,30.98,101.11,3.19
SV007,Hải Phòng,2021,2867327,47.53,110.83,4.69
SV007,Cần Thơ,2019,1617086,57.57,129.84,4.97
SV007,Cần Thơ,2020,7902480,38.65,108.33,
SV007,Cần Thơ,2021,3947633,40.98,101.78,4.04
SV008,Hà Nội,2019,1773869,53.03,90.43,
SV008,Hà Nội,2020,1909457,118.73,,2.03
SV008,Hà Nội,2021,1916038,32.32,114.84,3.62
SV008,TP.HCM,2019,4263010,91.12,90.67,5.05
SV008,TP.HCM,2020,6521427,88.64,117.01,1.17
SV008,TP.HCM,2021,7837734,104.2,123.84,6.0
SV008,Đà Nẵng,2019,6538121,104.83,93.75,3.03
SV008,Đà Nẵng,2020,6919827,94.0,121.6,1.8
SV008,Đà Nẵng,2021,1331768,57.58,,3.65
SV008,Hải Phòng,2019,7521215,84.66,117.27,2.56
SV008,Hải Phòng,2020,2936181,76.6,111.67,3.99
SV008,Hải Phòng,2021,2775988,93.47,127.7,5.47
SV008,Cần Thơ,2019,2763456,37.5,92.32,2.29
SV008,Cần Thơ,2020,6921770,,92.75,2.45
SV008,Cần Thơ,2021,6645494,87.84,114.8,2.76
SV009,Hà Nội,2019,4836760,109.48,114.84,3.19
SV009,Hà Nội,2020,5695504,,114.14,3.98
SV009,Hà Nội,2021,650877,85.27,,1.56
SV009,TP.HCM,2019,592254,53.34,113.19,5.42
SV009,TP.HCM,2020,7914944,,115.71,1.2
SV009,TP.HCM,2021,2641121,,124.77,5.41
SV009,Đà Nẵng,2019,1128364,40.83,113.46,4.97
SV009,Đà Nẵng,2020,7100021,98.73,127.51,3.31
SV009,Đà Nẵng,2021,4553380,61.64,118.13,2.11
SV009,Hải Phòng,2019,2827551,107.31,118.47,4.47
SV009,Hải Phòng,2020,1134676,68.26,99.89,1.85
SV009,Hải Phòng,2021,2180741,60.92,115.2,1.48
SV009,Cần Thơ,2019,7689047,40.38,107.95,2.04
SV009,Cần Thơ,2020,4172473,110.98,117.59,2.37
SV009,Cần Thơ,2021,1055846,73.2,107.82,5.93
SV010,Hà Nội,2019,3933301,83.9,,
SV010,Hà Nội,2020,7248958,44.53,93.6,1.4
SV010,Hà Nội,2021,3504497,119.02,121.06,3.08
SV010,TP.HCM,2019,1221549,85.8,,5.04
SV010,TP.HCM,2020,4358230,67.18,107.12,3.22
SV010,TP.HCM,2021,2212986,44.13,105.85,2.03
SV010,Đà Nẵng,2019,1425829,94.56,105.9,2.49
SV010,Đà Nẵng,2020,3141878,119.79,99.34,5.46
SV010,Đà Nẵng,2021,2323881,34.6,91.39,5.37
SV010,Hải Phòng,2019,7513431,93.89,108.48,5.48
SV010,Hải Phòng,2020,3605582,40.04,,5.63
SV010,Hải Phòng,2021,5510467,102.64,101.65,5.54
SV010,Cần Thơ,2019,6121039,82.32,129.51,1.75
SV010,Cần Thơ,2020,7804820,,103.05,4.92
SV010,Cần Thơ,2021,3084024,,97.14,4.44
SV011,Hà Nội,2019,654599,53.92,104.11,2.67
SV011,Hà Nội,2020,4339802,,104.03,5.13
SV011,Hà Nội,2021,5613948,103.78,114.64,1.41
SV011,TP.HCM,2019,828589,87.47,106.63,2.61
SV011,TP.HCM,2020,3841158,58.69,124.06,2.68
SV011,TP.HCM,2021,3660377,72.13,119.9,1.61
SV011,Đà Nẵng,2019,6710511,69.66,,2.99
SV011,Đà Nẵng,2020,5461589,95.0,,4.09
SV011,Đà Nẵng,2021,982986,65.89,,3.94
SV011,Hải Phòng,2019,5844432,88.93,126.86,5.21
SV011,Hải Phòng,2020,6898653,75.8,100.16,1.34
SV011,Hải Phòng,2021,3037207,57.67,,2.77
SV011,Cần Thơ,2019,4299524,88.79,102.28,
SV011,Cần Thơ,2020,4900634,85.32,115.5,2.69
SV011,Cần Thơ,2021,2611073,111.98,101.46,1.88
SV012,Hà Nội,2019,2272362,84.44,124.01,5.29
SV012,Hà Nội,2020,4007706,,91.44,5.58
SV012,Hà Nội,2021,3137602,67.87,108.14,5.3
SV012,TP.HCM,2019,516829,94.13,128.22,4.7
SV012,TP.HCM,2020,3116976,48.05,105.53,1.56
SV012,TP.HCM,2021,3668317,69.32,117.42,4.94
SV012,Đà Nẵng,2019,2058823,112.89,92.04,
SV012,Đà Nẵng,2020,1443586,78.39,90.73,2.46
SV012,Đà Nẵng,2021,6080781,40.8,114.27,4.95
SV012,Hải Phòng,2019,2310077,30.91,116.21,1.21
SV012,Hải Phòng,2020,1051660,84.66,99.7,5.38
SV012,Hải Phòng,2021,4485148,37.1,126.21,2.93
SV012,Cần Thơ,2019,5340486,44.26,,4.95
SV012,Cần Thơ,2020,1012956,36.31,,1.49
SV012,Cần Thơ,2021,3031785,107.68,128.45,
SV013,Hà Nội,2019,4391370,111.35,114.37,5.47
SV013,Hà Nội,2020,2645282,51.21,128.96,3.31
SV013,Hà Nội,2021,1403864,115.13,107.63,
SV013,TP.HCM,2019,5799636,45.99,,4.3
SV013,TP.HCM,2020,4712360,102.1,122.22,2.59
SV013,TP.HCM,2021,5813127,111.47,110.97,4.69
SV013,Đà Nẵng,2019,3164319,76.16,122.08,4.78
SV013,Đà Nẵng,2020,6011240,63.48,114.01,3.36
SV013,Đà Nẵng,2021,7471717,39.89,128.93,2.61
SV013,Hải Phòng,2019,6799251,,129.35,1.53
SV013,Hải Phòng,2020,5914365,58.39,111.86,1.26
SV013,Hải Phòng,2021,5876265,105.01,,1.41
SV013,Cần Thơ,2019,4085444,36.4,92.19,2.96
SV013,Cần Thơ,2020,6181697,97.39,116.61,5.13
SV013,Cần Thơ,2021,5914003,,114.1,4.52
SV014,Hà Nội,2019,5917053,84.43,97.27,5.38
SV014,Hà Nội,2020,5071959,95.42,124.55,1.82
SV014,Hà Nội,2021,3545043,52.84,115.23,2.29
SV014,TP.HCM,2019,593639,75.18,97.33,4.26
SV014,TP.HCM,2020,2275168,116.23,92.65,5.04
SV014,TP.HCM,2021,7099567,118.11,126.29,1.84
SV014,Đà Nẵng,2019,1233757,61.8,90.81,
SV014,Đà Nẵng,2020,3864565,78.07,91.86,1.63
